move_name,filename,move_duration_frames,package,category,is_neutral,is_mirror,move_soma_uniform_path,move_soma_uniform_shape_path,move_soma_proportional_path,move_soma_proportional_shape_path,move_g1_path,take_name,take_actor,take_org_name,take_date,take_day_part,content_name,content_natural_desc_1,content_natural_desc_2,content_natural_desc_3,content_natural_desc_4,content_technical_description,content_short_description,content_short_description_2,content_all_rigplay_styles,content_uniform_style,content_type_of_movement,content_body_position,content_horizontal_move,content_vertical_move,content_props,content_complex_action,content_repeated_action,actor_uid,actor_height,actor_height_cm,actor_foot_cm,actor_collarbone_height_cm,actor_collarbone_span_cm,actor_elbow_span_cm,actor_wrist_span_cm,actor_shoulder_span_cm,actor_hips_height_cm,actor_hips_bones_span_cm,actor_knee_height_cm,actor_ankle_height_cm,actor_weight_kg,actor_age_yr,actor_gender,actor_profession
on_all_fours_turn_270_R_001__A121,mohak_turn_270_001__A121,485,Locomotion,Advanced Locomotion,1.0,False,soma_uniform/bvh/230118/mohak_turn_270_001__A121.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230118/mohak_turn_270_001__A121.bvh,soma_shapes/soma_proportion_fit_mhr_params/A121.npz,g1/csv/230118/mohak_turn_270_001__A121.csv,on_all_fours_turn_270_R_001,A121,mohak_turn_270_001,230118,_3,on_all_fours_turn_270_R,individual turning 90 degrees to the right on hands and knees,person on hands and knees makes a right turn using their right hand and foot,one turns 90 degrees to the right while moving on their hands and knees,A person turns towards the right while being on all fours.,"start right foot and right hand, turn 90 degrees over right shoulder, on hands and knees",turning right on all fours,on all fours turn 270,neutral,neutral,"on hands and knees, turning",on all fours,0,0,0,0,0,A121,M,169,25,136,25,90,130,164,95,31,51,8,63,25,F,actor
idle_to_on_all_fours_idle_001__A333,idle_to_on_all_fours_idle_001__A333,735,Locomotion,Advanced Locomotion,1.0,False,soma_uniform/bvh/230418/idle_to_on_all_fours_idle_001__A333.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230418/idle_to_on_all_fours_idle_001__A333.bvh,soma_shapes/soma_proportion_fit_mhr_params/A333.npz,g1/csv/230418/idle_to_on_all_fours_idle_001__A333.csv,idle_to_on_all_fours_idle_001,A333,idle_to_on_all_fours_idle_001,230418,_2,idle_to_on_all_fours_idle,the character transitions from standing to being on their hands and knees,move from standing to kneeling on hands and knees,person kneels on both hands and knees from a standing position,An upright person kneels down on the ground and transitions into a dog position.,"kneel on both knees, add both hands parallel on floor simultaneously, from standing to talent on hands and knees",from neutral position to dog position,idle to on all fours idle,neutral,neutral,transition,"standing, on all fours",1,1,0,0,0,A333,M,177,30,147,33,97,141,178,101,28,55,10,74,24,M,actor
on_all_fours_360_start_R_004__A029,mohak_backward_start_004__A029,833,Locomotion,Advanced Locomotion,1.0,False,soma_uniform/bvh/220720/mohak_backward_start_004__A029.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/220720/mohak_backward_start_004__A029.bvh,soma_shapes/soma_proportion_fit_mhr_params/A029.npz,g1/csv/220720/mohak_backward_start_004__A029.csv,on_all_fours_360_start_R_004,A029,mohak_backward_start_004,220720,_1,on_all_fours_360_start_R,someone moving backwards while grounded on hands and knees,move backwards on hands and knees,person starts to crawl backwards on all fours,A person in a crawling position begins to move backward using their knees and hands.,"start right foot left hand adding, move backward, on hands and knees backward",the person is in a position on all fours and begins to move backward on knees and hands,on all fours 360 start,neutral,neutral,on hands and knees,"standing, on all fours",1,1,0,0,0,A029,S,155,24,127,31,85,120,158,80,22,43,8,41,22,F,general
on_all_fours_360_start_R_002__A034,mohak_backward_start_002__A034,993,Locomotion,Advanced Locomotion,1.0,False,soma_uniform/bvh/220721/mohak_backward_start_002__A034.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/220721/mohak_backward_start_002__A034.bvh,soma_shapes/soma_proportion_fit_mhr_params/A034.npz,g1/csv/220721/mohak_backward_start_002__A034.csv,on_all_fours_360_start_R_002,A034,mohak_backward_start_002,220721,_1,on_all_fours_360_start_R,someone moving backwards while grounded on hands and knees,move backwards on hands and knees,person starts to crawl backwards on all fours,A person in a crawling position begins to move backward using their knees and hands.,"start right foot left hand adding, move backward, on hands and knees backward",the person is in a position on all fours and begins to move backward on knees and hands,on all fours 360 start,neutral,neutral,on hands and knees,"standing, on all fours",1,1,0,0,0,A034,T,183,26,155,37,99,148,182,108,31,54,9,96,27,F,general
on_all_fours_360_start_R_001__A121,mohak_backward_start_001__A121,739,Locomotion,Advanced Locomotion,1.0,False,soma_uniform/bvh/230118/mohak_backward_start_001__A121.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230118/mohak_backward_start_001__A121.bvh,soma_shapes/soma_proportion_fit_mhr_params/A121.npz,g1/csv/230118/mohak_backward_start_001__A121.csv,on_all_fours_360_start_R_001,A121,mohak_backward_start_001,230118,_3,on_all_fours_360_start_R,someone moving backwards while grounded on hands and knees,move backwards on hands and knees,person starts to crawl backwards on all fours,A person in a crawling position begins to move backward using their knees and hands.,"start right foot left hand adding, move backward, on hands and knees backward",the person is in a position on all fours and begins to move backward on knees and hands,on all fours 360 start,neutral,neutral,on hands and knees,"standing, on all fours",1,1,0,0,0,A121,M,169,25,136,25,90,130,164,95,31,51,8,63,25,F,actor
on_all_fours_180_loop_R_003__A125,mohak_forward_loop_003__A125,1344,Locomotion,Advanced Locomotion,1.0,False,soma_uniform/bvh/230119/mohak_forward_loop_003__A125.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230119/mohak_forward_loop_003__A125.bvh,soma_shapes/soma_proportion_fit_mhr_params/A125.npz,g1/csv/230119/mohak_forward_loop_003__A125.csv,on_all_fours_180_loop_R_003,A125,mohak_forward_loop_003,230119,_2,on_all_fours_180_loop_R,individual crawls forward on hands and knees,the actor is moving forward on their hands and knees,the individual moves forward while on all fours,A person begins to move forward on all fours.,"move forward, on hands and knees forward",the person is moving in a position on all fours,on all fours 180 loop,neutral,neutral,on hands and knees,on all fours,1,1,0,0,0,A125,M,175,26,147,30,96,137,180,102,29,53,8,64,28,F,actor
on_all_fours_turn_000_003__A031,mohak_turn_000_003__A031,951,Locomotion,Advanced Locomotion,1.0,False,soma_uniform/bvh/220720/mohak_turn_000_003__A031.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/220720/mohak_turn_000_003__A031.bvh,soma_shapes/soma_proportion_fit_mhr_params/A031.npz,g1/csv/220720/mohak_turn_000_003__A031.csv,on_all_fours_turn_000_003,A031,mohak_turn_000_003,220720,_1,on_all_fours_turn_000,"character, on all fours, turns left","while on all fours, person makes a turn to the left using their hands",character turns left on all fours,A person turns back over the left shoulder while in a quadruped position.,"on hands and knees, start right left, turn left 180 degrees over left shoulder,",turning on all fours to the left,on all fours turn 000,neutral,neutral,"on hands and knees, turning",on all fours,0,0,0,0,0,A031,T,192,30,157,37,101,149,189,105,28,56,10,85,22,M,general
on_all_fours_idle_001__A201,on_all_fours_idle_loop_001__A201,1970,Locomotion,Advanced Locomotion,1.0,False,soma_uniform/bvh/230216/on_all_fours_idle_loop_001__A201.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230216/on_all_fours_idle_loop_001__A201.bvh,soma_shapes/soma_proportion_fit_mhr_params/A201.npz,g1/csv/230216/on_all_fours_idle_loop_001__A201.csv,on_all_fours_idle_001,A201,on_all_fours_idle_loop_001,230216,_2,on_all_fours_idle,person transitions from standing to a position on their hands and knees,the individual transitions to a position on all fours,person changes their position from standing to being on their hands and knees,A person is standing on all fours side featuring a dog position.,"feet and hands almost parallel in open position, talent on floor, on hands and knees",changing position from standing to on all fours,on all fours idle,neutral,neutral,on hands and knees,"standing, on all fours",1,1,0,0,0,A201,M,168,28,138,31,91,133,174,96,25,52,9,61,27,F,actor
on_all_fours_360_loop_R_003__A123,mohak_backward_loop_003__A123,984,Locomotion,Advanced Locomotion,1.0,False,soma_uniform/bvh/230118/mohak_backward_loop_003__A123.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230118/mohak_backward_loop_003__A123.bvh,soma_shapes/soma_proportion_fit_mhr_params/A123.npz,g1/csv/230118/mohak_backward_loop_003__A123.csv,on_all_fours_360_loop_R_003,A123,mohak_backward_loop_003,230118,_3,on_all_fours_360_loop_R,person moves backward while on their hands and knees,individual moves backwards while being on their hands and knees,"move backward on all fours, with hands and knees on the ground",The person in an all-fours position steadily moves backward and then comes to a halt.,"move backward, on hands and knees backward",the person is moving backward in a position on all fours,on all fours 360 loop,neutral,neutral,on hands and knees,on all fours,1,1,0,0,0,A123,T,188,32,157,36,103,151,192,109,30,56,10,89,24,M,actor
on_all_fours_turn_135_004__A033,mohak_turn_135_004__A033,447,Locomotion,Advanced Locomotion,1.0,False,soma_uniform/bvh/220721/mohak_turn_135_004__A033.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/220721/mohak_turn_135_004__A033.bvh,soma_shapes/soma_proportion_fit_mhr_params/A033.npz,g1/csv/220721/mohak_turn_135_004__A033.csv,on_all_fours_turn_135_004,A033,mohak_turn_135_004,220721,_1,on_all_fours_turn_135,person on all fours turns slightly to the left,"starting on all fours, person makes a slight left turn using their hands",character on all fours turns to the left starting with the left arm,A person is on all fours and turns left to face the left diagonal direction.,"on hands and knees, start left foot, turn left 45 degrees over left shoulder",turn slightly to the left on all fours,on all fours turn 135,neutral,neutral,"on hands and knees, turning",on all fours,0,0,0,0,0,A033,S,160,25,130,38,88,126,160,86,23,45,8,59,28,M,general
idle_on_all_fours_to_idle_103__A124,mohak_idle_stop_103__A124,691,Locomotion,Advanced Locomotion,1.0,False,soma_uniform/bvh/230118/mohak_idle_stop_103__A124.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230118/mohak_idle_stop_103__A124.bvh,soma_shapes/soma_proportion_fit_mhr_params/A124.npz,g1/csv/230118/mohak_idle_stop_103__A124.csv,idle_on_all_fours_to_idle_103,A124,mohak_idle_stop_103,230118,_3,idle_on_all_fours_to_idle,a transition from a neutral standing pose to being on all fours,person transitions from standing to being on all fours,person moves from fours position to standing up,A person standing on all fours gets up and stands upright.,stand up from hands and knees parallel simultaneously from talent on hands and knees to standing,transition from neutral standing to on all fours,idle on all fours to idle,neutral,neutral,transition,"on all fours, standing",1,1,0,0,0,A124,M,175,26,147,30,96,137,180,102,29,53,8,64,28,F,actor
on_all_fours_180_start_R_005__A032,mohak_start_005__A032,738,Locomotion,Advanced Locomotion,1.0,False,soma_uniform/bvh/220720/mohak_start_005__A032.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/220720/mohak_start_005__A032.bvh,soma_shapes/soma_proportion_fit_mhr_params/A032.npz,g1/csv/220720/mohak_start_005__A032.csv,on_all_fours_180_start_R_005,A032,mohak_start_005,220720,_1,on_all_fours_180_start_R,individual starts to move while positioned on all fours,"being in an all-fours position, person starts to move on hands and knees",person starts moving forward while on their hands and knees,A person is crawling forward by taking several steps at a steady pace.,"start right foot left hand adding, move forward, on hands and knees forward",the person is in a position on all fours and begins to move on knees and hands,on all fours 180 start,neutral,neutral,on hands and knees,"standing, on all fours",1,1,0,0,0,A032,M,166,26,136,35,94,141,173,95,25,49,11,60,36,M,general
crawl_ff_stop_225_R_003__A218,crawl_ff_stop_225_R_003__A218,1288,Gaming,Unusual Locomotion,1.0,False,soma_uniform/bvh/230223/crawl_ff_stop_225_R_003__A218.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230223/crawl_ff_stop_225_R_003__A218.bvh,soma_shapes/soma_proportion_fit_mhr_params/A218.npz,g1/csv/230223/crawl_ff_stop_225_R_003__A218.csv,crawl_ff_stop_225_R_003,A218,crawl_ff_stop_225_R_003,230223,_1,crawl_ff_stop_225_R,figure on the ground in a frog-like position crawls diagonally toward the top-right direction,stop crawling forward at a diagonal right direction,person stops crawling forward in the right diagonal direction,The person crawls forward towards the right diagonal and then stops to lie on the torso.,"end left foot right hand adding, move forward diagonally, talent on the floor in frog position, crawling",stopping to crawl forward in right diagonal direction,crawl ff stop 225,neutral,neutral,crawling,crawling,1,1,0,0,0,A218,M,173,25,144,31,91,130,168,99,33,51,10,73,25,F,actor
crawl_ff_start_360_R_001__A130,crawl_ff_start_360_001__A130,720,Gaming,Unusual Locomotion,1.0,False,soma_uniform/bvh/230120/crawl_ff_start_360_001__A130.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230120/crawl_ff_start_360_001__A130.bvh,soma_shapes/soma_proportion_fit_mhr_params/A130.npz,g1/csv/230120/crawl_ff_start_360_001__A130.csv,crawl_ff_start_360_R_001,A130,crawl_ff_start_360_001,230120,_1,crawl_ff_start_360_R,person begins to crawl backward over their right shoulder,"person begins to crawl backward, starting their movement over the right shoulder in a frog-like position",person starts crawling backward over their right shoulder,A person facing down begins to crawl backward over their right shoulder.,"start right foot left hand adding left hand adding, move backward, talent on the floor in frog position, crawling",beginning to crawling back over right shoulder,crawl ff start 360,neutral,neutral,crawling,crawling,1,1,0,0,0,A130,M,175,26,147,30,96,137,180,102,29,53,8,64,28,F,actor
crawl_ff_stop_360_R_002__A231,crawl_ff_stop_360_R_002__A231,970,Gaming,Unusual Locomotion,1.0,False,soma_uniform/bvh/230301/crawl_ff_stop_360_R_002__A231.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230301/crawl_ff_stop_360_R_002__A231.bvh,soma_shapes/soma_proportion_fit_mhr_params/A231.npz,g1/csv/230301/crawl_ff_stop_360_R_002__A231.csv,crawl_ff_stop_360_R_002,A231,crawl_ff_stop_360_R_002,230301,_1,crawl_ff_stop_360_R,individual on the floor like a frog is stopping their crawl backwards,"character on the floor in a frog position stops crawling backward, ending with their left foot and right hand",individual stops their frog position crawling and moves backward over their right shoulder,"A person steadily crawls backward, then stops and lies on their stomach.","end left foot right hand adding, move backward, talent on the floor in frog position, crawling",stopping to crawl back over right shoulder,crawl ff stop 360,neutral,neutral,crawling,crawling,1,1,0,0,0,A231,M,177,28,146,38,100,146,186,100,31,55,11,88,33,M,stuntman
crawl_idle_right_R_003__A231,idle_crawl_right_loop_R_003__A231,1335,Gaming,Unusual Locomotion,1.0,False,soma_uniform/bvh/230301/idle_crawl_right_loop_R_003__A231.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230301/idle_crawl_right_loop_R_003__A231.bvh,soma_shapes/soma_proportion_fit_mhr_params/A231.npz,g1/csv/230301/idle_crawl_right_loop_R_003__A231.csv,crawl_idle_right_R_003,A231,idle_crawl_right_loop_R_003,230301,_1,crawl_idle_right_R,"lying on the floor, right leg bent and stretched to the right","someone lying on the floor, with their right leg slightly extended",person lying on the floor with the right leg slightly forward,A person is lying on the ground on their torso in a crawling stance.,lies on the floor with right leg bent to the right,lying down open position,crawl idle right,neutral,neutral,crawling,crawling,1,1,0,0,0,A231,M,177,28,146,38,100,146,186,100,31,55,11,88,33,M,stuntman
crawl_ff_loop_225_R_003__A133,crawl_ff_loop_225_003__A133,1599,Gaming,Unusual Locomotion,1.0,False,soma_uniform/bvh/230120/crawl_ff_loop_225_003__A133.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230120/crawl_ff_loop_225_003__A133.bvh,soma_shapes/soma_proportion_fit_mhr_params/A133.npz,g1/csv/230120/crawl_ff_loop_225_003__A133.csv,crawl_ff_loop_225_R_003,A133,crawl_ff_loop_225_003,230120,_1,crawl_ff_loop_225_R,"individual crawls forward in a frog position, moving diagonally",someone in a frog position on the floor crawls forward in a diagonal direction to their right,individual in a frog-like position moves forward diagonally while crawling,A person lying on the surface crawls forward to the right diagonal direction at a normal pace.,"move forward diagonally, talent on the floor in frog position, crawling",crawling forward in right diagonal direction,crawl ff loop 225,neutral,neutral,crawling,crawling,1,1,0,0,0,A133,M,181,29,152,35,99,145,188,103,29,58,10,73,25,M,actor
crawl_ff_stop_270_R_001__A230,crawl_ff_stop_270_R_001__A230,1003,Gaming,Unusual Locomotion,1.0,False,soma_uniform/bvh/230301/crawl_ff_stop_270_R_001__A230.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230301/crawl_ff_stop_270_R_001__A230.bvh,soma_shapes/soma_proportion_fit_mhr_params/A230.npz,g1/csv/230301/crawl_ff_stop_270_R_001__A230.csv,crawl_ff_stop_270_R_001,A230,crawl_ff_stop_270_R_001,230301,_1,crawl_ff_stop_270_R,person on the floor in frog position ceases crawling to the right,person stops crawling and stays in a frog position while moving right,"person in a frog position on the floor, stops crawling to the right","A person, lying on their stomach, slowly crawls to their right and stops.","end left foot right hand adding, move sideways, talent on the floor in frog position, crawling",stopping to crawl to the right,crawl ff stop 270,neutral,neutral,crawling,crawling,1,1,0,0,0,A230,M,178,29,146,29,91,138,173,98,32,53,10,90,25,M,actor
crawl_idle_to_idle_002__A217,idle_crawl_stop_002__A217,1025,Gaming,Unusual Locomotion,1.0,False,soma_uniform/bvh/230223/idle_crawl_stop_002__A217.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230223/idle_crawl_stop_002__A217.bvh,soma_shapes/soma_proportion_fit_mhr_params/A217.npz,g1/csv/230223/idle_crawl_stop_002__A217.csv,crawl_idle_to_idle_002,A217,idle_crawl_stop_002,230223,_1,crawl_idle_to_idle,character stands up from a crawling position to a neutral stance,"from a crawling position, person pushes themselves up to a standing posture",transitioning from lie-down position to standing position,A person lying flat on the ground in a crawl position rises to stand upright while facing forward.,stand up from lying on the ground to standing up,from crawling position to neutral position,crawl idle to idle,neutral,neutral,transition,crawling,1,1,0,0,0,A217,M,177,28,146,37,100,142,180,98,29,52,10,82,25,M,actor
